twenty p	[‘twentɪ piː]	20 пенсов
a fifty pence piece	[ə’fɪftɪ pen(t)s piːs]	50 пенсов
fifty p	[‘fɪftɪ piː]	50 пенсов
a pound	[ə paund]	1 фунт
quid	[kwɪd]	соверен, фунт (стерлингов)
five pounds (quid)	[faɪv paundz(kwɪd)]	5 фунтов
a fiver	[‘faɪvə]	5 фунтов
ten pounds (quid)	[ten paundz(kwɪd)]	10 фунтов
a tenner	[‘tenə]	10 фунтов
twenty pounds (quid)	[‘twentɪ paundz(kwɪd)]	20 фунтов
fifty pounds (quid)	[‘fɪftɪ paundz(kwɪd)]	50 фунтов
one cent	[wʌn sent]	1 цент
a penny	[ə’penɪ]	1 цент
five cents	[faɪv sents]	5 центов
a nickel	[ə’nɪkl]	5 центов
ten cents	[ten sents]	10 центов
a dime	[ə daɪm]	10 центов
twenty-five cents	[‘twentɪ faɪv sents]	25 центов
a quarter	[ə’kwɔːtə]	25 центов
a half-dollar	[ə hɑːf ‘dɔlə]	50 центов
one dollar	[wʌn ‘dɔlə]	1 доллар
two dollar	[tuː’dɔlə]	2 доллара
five dollar	[faɪv ‘dɔlə]	5 долларов
ten dollar	[ten ‘dɔlə]	10 долларов
twenty dollar	[‘twentɪ ‘dɔlə]	20 долларов
fifty dollar	[‘fɪftɪ ‘dɔlə]	50 долларов
hundred dollar	[‘hʌndrəd ‘dɔlə]	100 долларов
aquamarine	[ ˌækwəməˈriːn ]	аквамарин
beige	[ beɪʒ ]	бежевый
snowy, snow-white	[ ˈsnəʊɪ ] [ ˈsnəʊ waɪt ]	белоснежный
white	[ waɪt ]	белый
turquoise	[ ˈtɜːkwɔɪz ]	бирюзовый
pale	[ peɪl ]	бледный
wine red, bordeaux, claret red	[ waɪn red ] [ bɔːˈdəʊ ] [ ˈklærət red ]	бордовый
bronze	[ brɒnz ]	бронзовый
yellow green	[ ˈjeləʊ ɡriːn ]	желто-зеленый
yellow	[ ˈjeləʊ ]	желтый
pearl	[ pɜːl ]	жемчужный
green	[ ɡriːn ]	зеленый
goldenrod	[ ˈɡoldənˌrɑːd ]	золотистый
gold, golden	[ ɡəʊld ] [ ˈɡəʊldən ]	золотой
emerald	[ ˈemərəld ]	изумрудный
indigo	[ ˈɪndɪɡəʊ ]	индиго
firebrick	[ ˈfaɪəbrɪk ]	кирпичный
coral	[ ˈkɒrəl ]	коралловый
brown	[ braʊn ]	коричневый
red	[ red ]	красный
cream	[ kriːm ]	кремовый
azure	[ ˈæʒə ] [ æ’zjuə ]	лазурный
lime green	[ laɪm ɡriːn ]	лимонно-зеленый
lemon	[ ˈlemən ]	лимонный
salmon	[ ˈsæmən ]	лососевый
raspberry	[ ˈrɑːzbəri ]	малиновый
copper	[ ˈkɒpə ]	медный
honeydew	[ ˈhʌnɪdjuː ]	медовый
aqua	[ ˈækwə ]	морская волна
sky blue	[ skaɪ bluː ]	небесно-голубой
olive	[ ˈɒlɪv ]	оливковый
orange	[ ˈɒrɪndʒ ]	оранжевый
sienna	[ sɪˈenə ]	охра
ash	[ æʃ ]	пепельно-серый
peach, peachpuff	[ piːtʃ ] [ˈpiːtʃˈpʌf ]	персиковый
sand-coloured	[ sænd ˈkʌləd ]	песочный
purple	[ ˈpɜːpəl ]	пурпурный
pink	[ pɪŋk ]	розовый
light-green	[ laɪt ɡriːn ]	салатовый
light	[ laɪt ]	светлый
silver, silvery	[ ˈsɪlvə ] [ ˈsɪlvəri ]	серебряный
grey, gray	[ ɡreɪ ]	серый
blue	[ bluː ]	синий
lilac	[ ˈlaɪlək ]	сиреневый
plum	[ plʌm ]	сливовый
ivory	[ ˈaɪvəri ]	слоновая кость
steel gray	[ stiːl ɡreɪ ]	стальной серый
maroon	[ məˈruːn ]	темно-бордовый
dark	[ dɑːk ]	темный
navy (blue)	[ ˈneɪvi bluː ]	тёмно-синий
terracotta	[ ˌterəˈkɒtə ]	терракотовый
dull	[ dʌl ]	тусклый
purple	[ ˈpɜːpəl ]	фиолетовый
violet	[ ˈvaɪələt ]	фиолетовый, темно-лиловый
pistachio	[ pɪˈstɑːtʃɪəʊ ]	фисташковый, зеленоватый цвет
magenta	[ məˈdʒentə ]	фуксин
fuchsia	[ ˈfjuːʃə ]	фуксия
khaki, forest green	[ ˈkɑːki ] [ ˈfɒrɪst ɡriːn ]	хаки
seagreen	[ ˈsiːˈɡriːn ]	цвет морской волны
sea foam	[ siː fəʊm ]	цвет морской пены
black	[ blæk ]	черный
amber	[ ˈæmbə ]	янтарный
time	[taɪm]	время
past	[pɑːst]	прошлое
future	[ˈfjuːʧə]	будущее
present	[ˈprɛznt]	настоящее
age	[eɪʤ]	эра (также «возраст»)
millenium	[mɪlˈiːnɪəːm]	тысячелетие
century	[ˈsɛnʧʊri]	век
decade	[ˈdɛkeɪd]	десятилетие
year	[jɪə]	год
month	[mʌnθ]	месяц
week	[wiːk]	неделя
day	[deɪ]	день
hour	[ˈaʊə]	час
half an hour	[hɑːf ən ˈaʊə]	полчаса
minute	[ˈmɪnɪt]	минута
second	[ˈsɛkənd]	секунда
watch	[wɒʧ]	часы (наручные)
clock	[klɒk]	часы (настенные)
calendar	[ˈkælɪndə]	календарь
schedule	[ˈʃɛdjuːl]	расписание
action	[‘ækʃ(ə)n]	действие
walk	[wɔːk]	идти, ходить
run	[rʌn]	бежать, бегать
march	[mɑːtʃ]	маршировать
tiptoe	[ˈtɪptəʊ]	ходить на цыпочках
crawl	[krɔːl]	ползать
drag	[dræg]	тянуть, тащить
pull	[pʊl]	тянуть, тащить
push	[puʃ]	толкать; пихать
jump	[ʤʌmp]	прыгать, скакать
skip	[skɪp]	прыгать, скакать
leap	[liːp]	прыжок, скачок
hop	[hɔp]	подпрыгивать
hit	[hɪt]	ударять (по чему-л.)
slap	[slæp]	шлепать, хлопать
kick	[kɪk]	удар ногой
stretch	[streʧ]	тянуться, вытягиваться
lift	[lɪft]	поднятие, поднимать
put	[pʊt]	класть, ставить
lean	[liːn]	прислонять, опирать
dive	[daɪv]	нырять
sit	[sɪt]	сидеть; садиться
squat	[skwɔt]	приседание
bend	[bend]	сгибаться
hold	[həuld]	держать; обнимать
carry	[‘kærɪ]	нести, носить
catch	[kæʧ]	ловить; поймать
throw	[θrəu]	бросать, кидать
food	[fuːd]	питание, еда
ham	[hæm]	ветчина
sausage	[‘sɔsɪʤ]	колбаса, сосиска
meat	[miːt]	мясо
egg	[eg]	яйцо
pizza	[‘piːtsə]	пицца
soup	[suːp]	суп
bread	[bred]	хлеб
milk	[mɪlk]	молоко
porridge	[‘pɔrɪʤ]	каша
flour	[‘flauə]	мука
garlic	[‘gɑːlɪk]	чеснок
salad	[‘sæləd]	салат
fish	[fɪʃ]	рыба
chicken	[‘ʧɪkɪn]	цыплёнок
pork	[pɔːk]	свинина
beef	[biːf]	говядина
steak	[steɪk]	бифштекс, стейк
spice	[spaɪs]	специя, пряность
butter	[‘bʌtə]	масло
potato	[pə’teɪtəu]	картофель
macaroni	[ˌmæk(ə)’rəunɪ]	макароны
cheese	[ʧiːz]	сыр
rice	[raɪs]	рис
pasta	[‘pæstə]	паста
ketchup	[‘keʧʌp]	кетчуп
sauce	[sɔːs]	соус
mayonnaise	[ˌmeɪə’neɪz]	майонез
bean	[biːn]	фасоль
pepper	[‘pepə]	перец
salt	[sɔːlt]	соль
sandwich	[‘sænwɪʤ]	бутерброд
cutlet	[‘kʌtlət]	котлета
caviar	[‘kævɪɑː]	икра
vegetables	[‘veʤ(ə)təbls]	овощи
fruit	[fruːt]	фрукт
baked	[beɪkt]	печёный, выпеченный
fried	[fraɪd]	жареный
pickled cucumbers	[‘pɪkld ‘kjuːkʌmbəs]	соленые огурцы
marinated tomatoes	[‘mærɪneɪt tə’mɑːtəus]	маринованные помидоры
tea	[tiː]	чай
coffee	[‘kɔfɪ]	кофе
cocoa	[‘kəukəu]	какао
chocolate	[‘ʧɔklət]	шоколад
jam	[ʤæm]	варенье; джем
sugar	[‘ʃugə]	сахар
candy	[‘kændɪ]	конфета
cake	[keɪk]	кекс, торт
cookie	[‘kukɪ]	печенье
croissant	[‘krwɑːsɑːŋ]	французский рогалик
cocktail	[‘kɔkteɪl]	коктейль
juice	[ʤuːs]	сок
jelly	[‘ʤelɪ]	желе
ice cream	[ˌaɪs’kriːm]	мороженое
pancake	[‘pænkeɪk]	блин, оладья
pie	[paɪ]	пирог
sweet	[swiːt]	сладкий (о вкусе)
bitter	[‘bɪtə]	горький (на вкус)
salted	[‘sɔːltɪd]	солёный (о вкусе)
sour	[‘sauə]	кислый (на вкус)
drink	[drɪŋk]	напиток, пить
soft drink	[sɒft drɪŋk]	безалкогольный напиток
beverage	[ˈbɛvərɪdʒ]	напиток
water	[ˈwɔːtə]	вода
lemonade	[ˌlɛməˈneɪd]	лимонад
tea	[tiː]	чай
coffee	[ˈkɒfɪ]	кофе
juice	[dʒuːs]	сок
milk	[mɪlk]	молоко
cocoa	[ˈkəʊkəʊ]	какао
chocolate	[ˈtʃɒklət]	горячий шоколад
cocktail	[ˈkɒkteɪl]	коктейль
milkshake	[ˈmɪlkʃeɪk]	молочный коктейль
iced tea	[aɪst tiː]	холодный чай
orange juice	[ˈɒrɪndʒ dʒuːs]	апельсиновый сок
tomato juice	[təˈmɑːtəʊ dʒuːs]	томатный сок
fruit juice	[fruːt dʒuːs]	фруктовый сок
vegetable juice	[ˈvɛdʒ(ə)təbl dʒuːs]	овощной сок
alcohol	[ˈælkəhɒl]	алкоголь, спирт
alcoholic beverage	[ælkəˈhɔlɪk ˈbevərɪʤ]	алкогольные напитки
beer	[bɪə]	пиво
wine	[waɪn]	вино
cooking	[ˈkʊkɪŋ]	кулинария, готовка
bake	[beɪk]	печь, выпекать
boil	[bɔɪl]	варить
fry	[fraɪ]	жарить
peel	[piːl]	снимать кожуру
slice	[slaɪs]	резать ломтиками
grate	[ɡreɪt]	тереть на терке
pour	[pɔː]	наливать
mix	[mɪks]	смешивать
knead	[niːd]	замешивать
chop	[tʃɒp]	рубить
mince	[mɪns]	крошить
melt	[mɛlt]	плавить
sift	[sɪft]	просеивать
stir	[stɜː]	помешивать
beat	[biːt]	отбивать
whisk	[wɪsk]	сбивать
simmer	[ˈsɪmə]	тушить
roast	[rəʊst]	прожаривание
grill	[ɡrɪl]	жарить на рашпиле
add	[æd]	добавлять
wash	[wɒʃ]	мыть
weigh	[weɪ]	взвешивать
cook	[kʊk]	повар
tool	[tuːl]	инструмент
hammer	[‘hæmə]	молоток
mallet	[‘mælɪt]	деревянный молоток
handsaw	[‘hæn(d)sɔː]	ручная пила
sandpaper	[‘sæn(d)ˌpeɪpə]	наждачная бумага
plane	[pleɪn]	рубанок
drill	[drɪl]	дрель, перфоратор
hacksaw	[‘hæksɔː]	ножовка
vise	[vaɪs]	тиски
screwdriver	[‘skruːˌdraɪvə]	отвёртка
awl	[ɔːl]	шило
file	[faɪl]	напильник
chisel	[‘ʧɪz(ə)l]	зубило
wrench	[ren(t)ʃ]	гаечный ключ
pliers	[‘plaɪəz]	плоскогубцы
scissors	[‘sɪzəz]	ножницы
pocketknife	[‘pɔkɪtnaɪf]	многофункциональный нож
toolbox	[‘tuːlbɔks]	инструментальный ящик
axe	[æks]	топор
spade	[speɪd]	лопата
bucket	[ˈbʌkɪt]	ведро
ladder	[ˈlædə]	лестница (приставная)
stepladder	[ˈstɛpˌlædə]	стремянка
nail	[neɪl]	гвоздь
screw	[skruː]	винт, шуруп
bolt	[bəʊlt]	болт
nut	[nʌt]	гайка
washer	[ˈwɒʃə]	шайба
stationery	[ˈsteɪʃ(ə)n(ə)rɪ]	канцелярские товары
office supplies	[‘ɔfɪs sə’plaɪs]	канцелярские товары
clip	[klɪp]	скрепка
paper	[ˈpeɪpə]	бумага
clamp	[klæmp]	зажим
pushpin	[ˈpʊʃpɪn]	канцелярская кнопка
stapler	[ˈsteɪplə]	степлер
staples	[ˈsteɪpls]	скобки для степлера
scotch tape	[‘skɔʧˌteɪp]	скотч
scissors	[ˈsɪzəz]	ножницы
pen	[pɛn]	ручка
pencil	[ˈpɛn(t)s(ə)l]	карандаш
eraser	[ɪˈreɪzə]	ластик, резинка
marker	[ˈmɑːkə]	маркер
highlighter	[ˈhaɪlaɪtə]	маркер
glue	[ɡluː]	клей
notebook	[ˈnəʊtbʊk]	блокнот
notepad	[ˈnəʊtpæd]	блокнот
calculator	[ˈkælkjʊleɪtə]	калькулятор
clipboard	[ˈklɪpbɔːd]	планшет с зажимом
ruler	[ˈruːlə]	линейка
correction fluid	[kəˈrɛkʃ(ə)nˌfluːɪd]	замазка
file	[faɪl]	папка
folder	[ˈfəʊldə]	папка
envelope	[ˈɛnvələʊp]	конверт
sticker	[ˈstɪkə]	стикер, наклейка
punch	[pʌntʃ]	дырокол
size	[saɪz]	размер
small	[smɔːl]	маленький
big	[bɪɡ]	большой
medium	[ˈmiːdɪəm]	средний
little	[lɪtl]	маленький
large	[lɑːdʒ]	большой
huge	[hjuːdʒ]	огромный
long	[lɒŋ]	длинный
short	[ʃɔːt]	короткий
wide	[waɪd]	широкий
narrow	[ˈnærəʊ]	узкий
high	[haɪ]	высокий
tall	[tɔːl]	высокий
low	[ləʊ]	низкий
deep	[diːp]	глубокий
shallow	[ˈʃæləʊ]	мелкий
thick	[θɪk]	толстый
thin	[θɪn]	тонкий
far	[fɑː]	далекий
near	[nɪə]	близкий
pet	[pɛt]	домашнее животное
cat	[kæt]	кот, кошка
kitten	[kɪtn]	котенок
dog	[dɒɡ]	собака
puppy	[ˈpʌpɪ]	щенок
hamster	[ˈhæmstə]	хомяк
guinea pig	[ˈɡɪnɪˌpɪɡ]	морская свинка
farm	[fɑːm]	ферма
chicken	[ˈtʃɪkɪn]	курица
rooster	[ˈruːstə]	петух
turkey	[ˈtɜːkɪ]	индюк, индейка
goat	[ɡəʊt]	козел, коза
kid	[kɪd]	козленок
sheep	[ʃiːp]	овца, баран
lamb	[læm]	ягненок, барашек
bull	[bʊl]	бык
cow	[kaʊ]	корова
calf	[kɑːf]	теленок
horse	[hɔːs]	лошадь
pig	[pɪɡ]	свинья
piglet	[ˈpɪɡlət]	поросенок
rabbit	[ˈræbɪt]	кролик
animal	[‘ænɪm(ə)l]	животное
bear	[beə]	медведь
fox	[fɒks]	лиса
rabbit	[ˈræbɪt]	заяц
wolf	[wʊlf]	волк
pig	[pɪg]	кабан
deer	[dɪə]	олень
moose	[muːs]	лось
donkey	[ˈdɒŋkɪ]	осел
buffalo	[ˈbʌfəl|əʊ]	зубр
camel	[ˈkæm(ə)l]	верблюд
giraffe	[ʤɪ’rɑːf]	жираф
hippopotamus	[ˌhɪpə’pɔtəməs]	бегемот
zebra	[‘zebrə]	зебра
kangaroo	[ˌkæŋg(ə)’ruː]	кенгуру
elephant	[‘elɪfənt]	слон
llama	[ˈlɑːmə]	лама
horse	[hɔːs]	конь, лошадь
foal	[fəʊl]	жеребенок
armadillo	[ˌɑːməˈdɪl|əʊ]	броненосец
leopard	[ˈlɛpəd]	леопард
lion	[‘laɪən]	лев
tiger	[ˈtaɪɡə]	тигр
bison	[ˈbaɪs(ə)n]	бизон
koala	[kəu’ɑːlə]	коала
hyena	[haɪˈiːnə]	гиена
panda	[‘pændə]	панда
rhinoceros	[raɪˈnɒs(ə)rəs]	носорог
monkey	[ˈmʌŋkɪ]	обезьяна
gorilla	[gə’rɪlə]	горилла
chimpanzee	[ˌtʃɪmpænˈziː]	шимпанзе
gibbon	[ˈɡɪbən]	гиббон
baboon	[bəˈbuːn]	бабуин
anteater	[ˈæntˌiːtə]	муравьед
mouse	[maus]	мышь
possum	[ˈpɒsəm]	опоссум
skunk	[skʌŋk]	скунс
bat	[bæt]	летучая мышь
beaver	[ˈbiːvə]	бобер
gopher	[ˈɡəʊfə]	суслик
squirrel	[ˈskwɪrəl]	белка
rat	[ræt]	крыса
chipmunk	[ˈtʃɪpmʌŋk]	бурундук
porcupine	[ˈpɔːkjʊpaɪn]	дикобраз
raccoon	[ræˈkuːn-]	енот
reptile	[ˈrɛptaɪl]	рептилия
crocodile	[ˈkrɒkədaɪl]	крокодил
alligator	[ˈælɪɡeɪtə]	аллигатор
tortoise	[ˈtɔːtəs]	черепаха
turtle	[ˈtɜːtl]	черепаха
lizard	[ˈlɪzəd]	ящерица
goanna	[ɡəʊˈænə]	варан
iguana	[ɪˈɡwɑːnə]	игуана
tadpole	[ˈtædpəʊl]	головастик
frog	[frɒɡ]	лягушка
salamander	[ˈsæləmændə]	саламандра
chameleon	[kəˈmiːlɪən]	хамелеон
snake	[sneɪk]	змея
rattlesnake	[ˈrætlsneɪk]	гремучая змея
cobra	[ˈkɒbrə]	кобра
python	[ˈpaɪθ(ə)n]	питон
dinosaur	[ˈdaɪnəsɔː]	динозавр
